    .996   .706  1.555  1.070   .913   .862   .998   .837   .672   .471   .106   .106   .106   .106
   -.002   .184  -.793  -.266  -.136  -.076  -.166  -.035   .069   .153   .289   .289   .289   .289
    .991   .914  1.571  1.290   .720   .660   .835   .708   .583   .414   .099   .099   .099   .099
    .008  -.063  -.824  -.496   .034   .083   .005   .090   .142   .183   .262   .262   .262   .262
    .523  1.727  1.516  1.191   .582   .529   .671   .578   .500   .369   .102   .102   .102   .102
    .289  -.922  -.752  -.400   .119   .152   .175   .218   .216   .209   .242   .242   .242   .242
    .720  2.164  1.480  1.086   .506   .460   .720   .596   .474   .336   .100   .100   .100   .100
    .203 -1.337  -.680  -.285   .151   .171   .122   .191   .229   .226   .236   .236   .236   .236
    .844  2.145  1.435  1.015   .487   .442   .619   .544   .445   .299   .092   .092   .092   .092
   -.005 -1.291  -.595  -.212   .141   .159   .184   .209   .233   .248   .244   .244   .244   .244
   2.718  1.820  1.357   .996   .485   .438   .522   .473   .401   .293   .101   .101   .101   .101
  -1.879  -.924  -.492  -.198   .126   .145   .210   .226   .244   .242   .243   .243   .243   .243
   1.654  1.452  1.173   .950   .563   .516   .512   .463   .390   .292   .116   .116   .116   .116
   -.788  -.554  -.314  -.155   .067   .088   .163   .190   .226   .245   .257   .257   .257   .257
   1.654  1.452  1.173   .950   .563   .516   .512   .463   .390   .292   .116   .116   .116   .116
   -.788  -.554  -.314  -.155   .067   .088   .163   .190   .226   .245   .257   .257   .257   .257
   1.654  1.452  1.173   .950   .563   .516   .512   .463   .390   .292   .116   .116   .116   .116
