1
 PROGRAM ACPGB                            DATE= 0: 0:   0  TIME= 0: 0: 0
 Visibility keys, face of accretion disk
 Visibility keys component    1
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.011
   24   49
 -0.005 -0.135 -0.263 -0.386 -0.503 -0.611 -0.709 -0.795 -0.867 -0.924
 -0.966 -0.991 -1.000 -0.991 -0.966 -0.925 -0.867 -0.795 -0.710 -0.612
 -0.504 -0.387 -0.264 -0.136 -0.007  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.005
   25   49
  1.000 -0.130 -0.258 -0.381 -0.498 -0.607 -0.705 -0.791 -0.863 -0.920
 -0.962 -0.988 -0.996 -0.988 -0.963 -0.921 -0.864 -0.791 -0.706 -0.608
 -0.500 -0.383 -0.259 -0.131 -0.001  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   26   49
  1.000 -0.124 -0.251 -0.375 -0.492 -0.600 -0.698 -0.783 -0.855 -0.913
 -0.954 -0.980 -0.988 -0.980 -0.955 -0.913 -0.856 -0.784 -0.698 -0.601
 -0.493 -0.376 -0.253 -0.125  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   27   49
  1.000 -0.117 -0.244 -0.367 -0.483 -0.590 -0.687 -0.772 -0.844 -0.901
 -0.942 -0.968 -0.976 -0.968 -0.943 -0.902 -0.845 -0.773 -0.688 -0.591
 -0.484 -0.368 -0.245 -0.119  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   28   49
  1.000 -0.110 -0.236 -0.357 -0.472 -0.578 -0.674 -0.758 -0.829 -0.886
 -0.927 -0.951 -0.960 -0.952 -0.927 -0.886 -0.830 -0.759 -0.675 -0.579
 -0.473 -0.358 -0.237 -0.111  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   29   49
