   49   49
   0.66762   0.02101   0.11435
   0.66496   0.01970   0.11435
   0.66248   0.01805   0.11435
   0.66024   0.01608   0.11435
   0.65828   0.01385   0.11435
   0.65663   0.01137   0.11435
   0.65531   0.00870   0.11435
   0.65436   0.00589   0.11435
   0.65378   0.00297   0.11435
   0.65358   0.00000   0.11435
   0.65378  -0.00297   0.11435
   0.65436  -0.00589   0.11435
   0.65531  -0.00870   0.11435
   0.65663  -0.01137   0.11435
   0.65828  -0.01385   0.11435
   0.66024  -0.01608   0.11435
   0.66248  -0.01805   0.11435
   0.66496  -0.01970   0.11435
   0.66762  -0.02101   0.11435
   0.67044  -0.02197   0.11435
   0.67336  -0.02255   0.11435
   0.67633  -0.02275   0.11435
   0.67930  -0.02255   0.11435
   0.68222  -0.02197   0.11435
   0.68503  -0.02101   0.11435
   0.68770  -0.01970   0.11435
   0.69017  -0.01804   0.11435
   0.69241  -0.01608   0.11435
   0.69437  -0.01385   0.11435
   0.69603  -0.01137   0.11435
   0.69734  -0.00870   0.11435
   0.69830  -0.00589   0.11435
   0.69888  -0.00297   0.11435
   0.69907  -0.00000   0.11435
   0.70651   0.00000   0.11262
   0.70625   0.00394   0.11262
   0.70548   0.00781   0.11262
   0.70421   0.01155   0.11262
   0.70246   0.01509   0.11262
   0.70027   0.01837   0.11262
   0.69767   0.02134   0.11262
   0.69470   0.02394   0.11262
   0.69142   0.02613   0.11262
   0.68788   0.02788   0.11262
   0.68414   0.02915   0.11262
   0.68027   0.02992   0.11262
   0.67633   0.03018   0.11262
   0.67239   0.02992   0.11262
   0.66852   0.02915   0.11262
   0.66478   0.02788   0.11262
   0.66124   0.02613   0.11262
   0.65796   0.02394   0.11262
   0.65499   0.02134   0.11263
   0.65239   0.01837   0.11263
   0.65019   0.01509   0.11263
   0.64845   0.01155   0.11263
   0.64718   0.00781   0.11263
   0.64641   0.00394   0.11263
   0.64615   0.00000   0.11263
   0.64641  -0.00394   0.11263
   0.64718  -0.00781   0.11263
   0.64845  -0.01155   0.11263
   0.65019  -0.01509   0.11263
   0.65239  -0.01837   0.11263
   0.65499  -0.02134   0.11263
   0.65796  -0.02394   0.11262
   0.66124  -0.02613   0.11262
   0.66478  -0.02788   0.11262
   0.66852  -0.02915   0.11262
   0.67239  -0.02992   0.11262
   0.67633  -0.03018   0.11262
