   49   49
  -0.33385   0.01326   0.06238
  -0.33549   0.01182   0.06238
  -0.33693   0.01017   0.06238
  -0.33815   0.00836   0.06238
  -0.33911   0.00640   0.06238
  -0.30362   0.00537   0.06115
  -0.30449   0.00794   0.06115
  -0.30569   0.01038   0.06115
  -0.30720   0.01264   0.06115
  -0.30899   0.01468   0.06115
  -0.31104   0.01647   0.06115
  -0.31329   0.01798   0.06115
  -0.31573   0.01918   0.06115
  -0.31830   0.02005   0.06115
  -0.32096   0.02058   0.06115
  -0.32367   0.02076   0.06115
  -0.32638   0.02058   0.06115
  -0.32904   0.02005   0.06115
  -0.33162   0.01918   0.06115
  -0.33405   0.01798   0.06115
  -0.33631   0.01647   0.06115
  -0.33835   0.01468   0.06115
  -0.34014   0.01264   0.06115
  -0.34165   0.01038   0.06115
  -0.34285   0.00794   0.06115
  -0.34372   0.00537   0.06115
  -0.29980   0.00640   0.05967
  -0.30084   0.00946   0.05967
  -0.30227   0.01236   0.05967
  -0.30406   0.01504   0.05966
  -0.30620   0.01748   0.05966
  -0.30863   0.01961   0.05966
  -0.31132   0.02140   0.05966
  -0.31421   0.02283   0.05966
  -0.31728   0.02387   0.05966
  -0.32045   0.02450   0.05966
  -0.32367   0.02471   0.05966
  -0.32690   0.02450   0.05966
  -0.33007   0.02387   0.05966
  -0.33313   0.02283   0.05966
  -0.33603   0.02140   0.05966
  -0.33872   0.01961   0.05966
  -0.34115   0.01748   0.05967
  -0.34328   0.01505   0.05967
  -0.34508   0.01236   0.05967
  -0.34651   0.00946   0.05967
  -0.34754   0.00640   0.05967
  -0.29608   0.00739   0.05793
  -0.29728   0.01093   0.05793
  -0.29893   0.01428   0.05792
  -0.30101   0.01739   0.05792
  -0.30347   0.02020   0.05792
  -0.30628   0.02266   0.05792
  -0.30939   0.02474   0.05792
  -0.31274   0.02639   0.05792
  -0.31628   0.02759   0.05792
  -0.31994   0.02832   0.05792
  -0.32367   0.02856   0.05792
  -0.32740   0.02832   0.05792
  -0.33106   0.02759   0.05792
  -0.33460   0.02639   0.05792
  -0.33795   0.02474   0.05792
  -0.34106   0.02266   0.05792
  -0.34387   0.02020   0.05792
  -0.34633   0.01739   0.05793
  -0.34841   0.01428   0.05793
  -0.35006   0.01093   0.05793
  -0.35126   0.00739   0.05793
  -0.29248   0.00836   0.05594
  -0.29383   0.01236   0.05594
  -0.29570   0.01615   0.05594
  -0.29805   0.01966   0.05593
  -0.30084   0.02283   0.05593
  -0.30401   0.02562   0.05593
  -0.30753   0.02796   0.05593
  -0.31131   0.02983   0.05593
  -0.31531   0.03119   0.05593
  -0.31946   0.03201   0.05593
  -0.32367   0.03229   0.05593
  -0.32789   0.03201   0.05593
  -0.33203   0.03119   0.05593
  -0.33603   0.02983   0.05593
  -0.33982   0.02797   0.05593
  -0.34333   0.02562   0.05593
  -0.34651   0.02283   0.05593
  -0.34929   0.01966   0.05594
  -0.35164   0.01615   0.05594
  -0.35351   0.01236   0.05594
  -0.35487   0.00836   0.05594
  -0.28901   0.00929   0.05371
  -0.29052   0.01373   0.05371
  -0.29259   0.01794   0.05371
  -0.29520   0.02185   0.05370
  -0.29830   0.02537   0.05370
  -0.30183   0.02847   0.05370
  -0.30573   0.03107   0.05370
  -0.30994   0.03315   0.05370
  -0.31439   0.03466   0.05370
  -0.31899   0.03557   0.05370
  -0.32367   0.03588   0.05370
  -0.32835   0.03557   0.05370
  -0.33296   0.03466   0.05370
  -0.33740   0.03315   0.05370
  -0.34161   0.03107   0.05370
